files,expl,order,explorder,400.199,401.163,402.128,403.092,404.057,.....,3994.28,3995.24,3996.21,3997.17,3998.13,3999.1,4000.06
CE4_HIG_1_dollar_curl_2expl_Acetone_vac_0.txt,CE4,HIG,CE4_HIG,0.42882,0.42765,0.42463,0.41993,0.41387,,0.35003,0.35004,0.35005,0.35005,0.35005,0.35005,0.35004
CE4_HIG_1_dollar_flat_2expl_Acetone_vac_0.txt,CE4,HIG,CE4_HIG,0.30061,0.29644,0.29359,0.29049,0.28594,,0.29019,0.29025,0.2903,0.29036,0.29041,0.29048,0.29055
CE4_HIG_Aluminium plate_2expl_Acetone_vac_1.txt,CE4,HIG,CE4_HIG,0.43598,0.4275,0.4228,0.42038,0.41869,,0.42921,0.42926,0.42932,0.42936,0.42939,0.42941,0.42943
CE4_HIG_Aluminum_Box_Catcher_2expl_vac_0.txt,CE4,HIG,CE4_HIG,0.48907,0.48801,0.48633,0.48258,0.47773,,0.34767,0.34772,0.34777,0.34781,0.34783,0.34784,0.34784
CE4_HIG_Aluminum_small_piece_2expl_vac_0.txt,CE4,HIG,CE4_HIG,0.18242,0.18303,0.18237,0.17873,0.17227,,0.2873,0.28741,0.2875,0.28758,0.28765,0.28771,0.28778
CE4_HIG_Bottom_residues_2expl_vac_0.txt,CE4,HIG,CE4_HIG,0.7116,0.71245,0.71552,0.71944,0.7227,,1.5349,1.53514,1.53538,1.53553,1.53556,1.53552,1.53548
CE4_HIG_Bottom_Residues_Acetone_vac_0.txt,CE4,HIG,CE4_HIG,0.28766,0.29878,0.30834,0.31276,0.31177,,0.16709,0.16707,0.16705,0.16704,0.16704,0.16704,0.16705
CE4_HIG_Bottom_Residues_Acetone1_vac_0.txt,CE4,HIG,CE4_HIG,0.29107,0.28991,0.2899,0.29081,0.29306,,0.14281,0.14274,0.14268,0.14264,0.14264,0.14266,0.14269
CE4_HIG_Brass_04_2expl_vac_0.txt,CE4,HIG,CE4_HIG,0.17742,0.1816,0.18356,0.18193,0.1773,,0.10052,0.10048,0.10042,0.10036,0.10032,0.10033,0.10038
CE4_HIG_Brass_Residue_006_vac_0.txt,CE4,HIG,CE4_HIG,0.10895,0.10261,0.09856,0.09685,0.09674,,0.10942,0.10944,0.10947,0.1095,0.10955,0.1096,0.10965
CE4_HIG_Cardboard_2expl_vac_1.txt,CE4,HIG,CE4_HIG,0.37,0.37011,0.36849,0.36516,0.36207,,1.07671,1.07675,1.0768,1.07689,1.07705,1.07731,1.0777
CE4_HIG_Cotton sticks_Acetone_vac_2.txt,CE4,HIG,CE4_HIG,0.16518,0.16182,0.15776,0.15264,0.14691,,0.13559,0.13558,0.13557,0.13555,0.13553,0.13553,0.13554
CE4_HIG_Fabric_Micropure100_2expl_vac_0.txt,CE4,HIG,CE4_HIG,0.60512,0.58663,0.57209,0.5636,0.5616,,0.47207,0.47214,0.47222,0.4723,0.47236,0.47241,0.47244
CE4_HIG_Fabric_Micropure100_exp_02_vac_0.txt,CE4,HIG,CE4_HIG,0.59827,0.59969,0.59837,0.59487,0.59095,,1.02394,1.02403,1.02413,1.02425,1.02438,1.02448,1.02457
CE4_HIG_Plastic_round_2expl_Acet_vac_0.txt,CE4,HIG,CE4_HIG,0.50959,0.51267,0.51379,0.51213,0.50888,,0.31655,0.3166,0.31667,0.31676,0.31685,0.31691,0.31693
CE4_HIG_Plastic_round_2expl_vac_1.txt,CE4,HIG,CE4_HIG,0.56813,0.5762,0.58388,0.58876,0.58908,,0.38114,0.38118,0.38121,0.38125,0.38129,0.38134,0.3814
CE4_LOW_1$_Coin_residue_002_vac_3.txt,CE4,LOW,CE4_LOW,0.02402,0.0343,0.04392,0.05275,0.06149,,0.00465,0.00456,0.00449,0.00442,0.00436,0.00428,0.0042
CE4_LOW_50_cents_01_1expl_Acetone_vac_0.txt,CE4,LOW,CE4_LOW,0.00338,0.00159,0,-0.00191,-0.00399,,0.00444,0.00435,0.00427,0.00421,0.00417,0.00417,0.00418
CE4_LOW_Aluminum_Box_Catcher_1expl_vac_1.txt,CE4,LOW,CE4_LOW,0.0746,0.07404,0.07387,0.07457,0.07625,,0.00044,0.00043,0.00042,0.00042,0.00042,0.00042,0.00041
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
